ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0440234743,The Testament,John Grisham,1999,Dell
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
0971880107,Wild Animus,Rich Shapero,2004,Too Far
0345402871,Airframe,Michael Crichton,1997,Ballantine Books
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
0446612545,The Beach House,James Patterson,2003,Warner Books
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books
0380778556,Rebecca,Daphne Du Maurier,1994,Avon
0446527165,Wish You Well,David Baldacci,2000,Warner Books
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
0060977493,The God of Small Things,Arundhati Roy,1998,Perennial
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown"
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown"
0345378490,Congo,Michael Crichton,1995,Ballantine Books
0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday
0385508042,The King of Torts,John Grisham,2003,Doubleday Books
0385511612,Bleachers,John Grisham,2003,Doubleday
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
0671027387,Deception Point,Dan Brown,2002,Pocket
0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books
0151008116,Life of Pi,Yann Martel,2002,Harcourt
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown"
0451526341,Animal Farm,George Orwell,2004,Signet
0684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial
0060188731,Bel Canto,Ann Patchett,2001,HarperCollins Publishers
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books
0312995423,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press
038542471X,The Client,John Grisham,1993,Doubleday Books
0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books
0380012863,Jonathan Livingston Seagull,Richard Bach,1976,Avon
0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,Pocket
0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
0440224675,Hannibal,Thomas Harris,2000,Dell Publishing Company
0449002632,London : The Novel,EDWARD RUTHERFURD,1998,Fawcett
0553569058,The Robber Bride,Margaret Atwood,1995,Bantam
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,Amber-Allen Publishing
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group
0553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam
0316168815,The Lovely Bones,Alice Sebold,2004,Back Bay Books
0345424719,A Widow for One Year,JOHN IRVING,1999,Ballantine Books
0375726403,Empire Falls,Richard Russo,2002,Vintage Books USA
0385503857,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese
0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket
0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books
0671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers
0060915544,The Bean Trees,Barbara Kingsolver,1989,Perennial
0060932759,Daughter of Fortune,Isabel Allende,2000,Perennial
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press
0380710218,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm)
0515118656,The Cove,Catherine Coulter,1996,Jove Books
0671673688,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket
0156027321,Life of Pi,Yann Martel,2003,Harvest Books
0385721420,Three Junes,JULIA GLASS,2003,Anchor
0451202341,Back Roads,Tawni O'Dell,2001,Signet Book
0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books
080213825X,Four Blondes,Candace Bushnell,2001,Grove Press
0515127833,River's End,Nora Roberts,2003,Jove Books
0345441133,Summer Island,KRISTIN HANNAH,2002,Ballantine Books
0385490992,The Street Lawyer,John Grisham,1998,Doubleday Books
0385424728,The Chamber,John Grisham,1994,Doubleday Books
0385472951,The Partner,John Grisham,1997,Doubleday Books
0425182878,Chosen Prey,John Sandford,2004,Berkley Publishing Group
0553564528,Guilty as Sin,TAMI HOAG,1997,Bantam
055356451X,Night Sins,TAMI HOAG,1995,Bantam
042517736X,Abduction,Robin Cook,2000,Berkley Publishing Group
0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
0345369947,The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner
0553578693,The Next Accident,LISA GARDNER,2002,Bantam
0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,Del Rey
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial
0440122090,Echoes,Maeve Binchy,1989,Dell
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
0446525502,The Rescue,Nicholas Sparks,2000,Warner Books
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown"
0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
0679442790,The Reader,Bernhard Schlink,1997,Random House
0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
0446523569,Message in a Bottle,Nicholas Sparks,1998,Warner Books
0446527793,The Guardian,Nicholas Sparks,2003,Warner Books
0446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey
0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown"
0316693200,2nd Chance,James Patterson,2002,"Little, Brown"
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
0451181379,The Door to December,Dean R. Koontz,1994,Signet Book
0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
038529929X,Hannibal,Thomas Harris,1999,Del Sol Press
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
0743211383,Dreamcatcher,Stephen King,2001,Scribner
0451205421,The Door to December,Dean R. Koontz,2002,Signet Book
0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press
0425161722,Net Force,Tom Clancy,1999,Berkley Publishing Group
0385493800,The Testament,John Grisham,1999,Doubleday Books
0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
038533334X,Charming Billy,Alice McDermott,1999,Delta
0425166619,Toxin,Robin Cook,1999,Berkley Publishing Group
0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
0312422156,Middlesex: A Novel,Jeffrey Eugenides,2003,Picador
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group
0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books
0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey
034538184X,Degree of Guilt,Richard North Patterson,1995,Ballantine Books
0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics
